00031105	00262	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00031202	00263	tx	$X\n
00031223	00264	tx	[0x3F]
00031258	00265	rx	ok\r
00031317	00266	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00031422	00267	tx	[0x3F]
00031483	00268	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00031623	00269	tx	[0x3F]
00031687	00270	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00031823	00271	tx	[0x3F]
00031883	00272	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00032023	00273	tx	[0x3F]
00032083	00274	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00032222	00275	tx	[0x3F]
00032282	00276	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00032424	00277	tx	[0x3F]
00032483	00278	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00032623	00279	tx	[0x3F]
00032685	00280	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00032823	00281	tx	[0x3F]
00032884	00282	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00033023	00283	tx	[0x3F]
00033088	00284	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00033223	00285	tx	[0x3F]
00033283	00286	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00033424	00287	tx	[0x3F]
00033483	00288	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00033623	00289	tx	[0x3F]
00033683	00290	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00033823	00291	tx	[0x3F]
00033884	00292	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00034023	00293	tx	[0x3F]
00034082	00294	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00034223	00295	tx	[0x3F]
00034284	00296	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00034424	00297	tx	[0x3F]
00034484	00298	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00034623	00299	tx	[0x3F]
00034685	00300	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00034824	00301	tx	[0x3F]
00034883	00302	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00035023	00303	tx	[0x3F]
00035085	00304	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
